,ID,subject,phenomenon,sub_subject,Correct sentence,Wrong sentence,Label,URL,Generated
0,1,naamwoordelijke_constituent,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",Bepaalde en onbepaalde naamwoordelijke constituenten,De maan schijnt.,Er schijnt een maan.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140301lingtopic,ANS
1,1,naamwoordelijke_constituent,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",Bepaalde en onbepaalde naamwoordelijke constituenten,De zon schijnt.,Er schijnt een zon.,,,Manual
2,1,naamwoordelijke_constituent,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",Bepaalde en onbepaalde naamwoordelijke constituenten,De aarde is bol.,Een aarde is bol.,,,Manual
3,1,naamwoordelijke_constituent,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",Bepaalde en onbepaalde naamwoordelijke constituenten,De sahara is erg heet.,Een sahara is erg heet.,,,Manual
4,1,naamwoordelijke_constituent,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",Bepaalde en onbepaalde naamwoordelijke constituenten,De Eiffeltoren staat in Parijs.,Er staat een Eiffeltoren in Parijs.,,,Chat-GPT
5,1,naamwoordelijke_constituent,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",Bepaalde en onbepaalde naamwoordelijke constituenten,De Mona Lisa hangt in het Louvre.,Er hangt een Mona Lisa in het Louvre,,,Chat-GPT
6,2,naamwoordelijke_constituent,6. Nominalizations,Nominalisaties behorend tot type 1,De terechtstelling van de misdadiger (was afschrikwekkend.),De misdadiger terechtstelling (was afschrikwekkend.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140802lingtopic,ANS
7,2,naamwoordelijke_constituent,6. Nominalizations,Nominalisaties behorend tot type 1,De schenking van kadobonnen aan de jarige (was een goed idee.),De jarige schenking van kadobonnen (was een goed idee.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140802lingtopic,ANS
8,2,naamwoordelijke_constituent,6. Nominalizations,Nominalisaties behorend tot type 1,De verstrekking van kortingsbonnen in een supermarkt (werd gewaardeerd.),De in een supermarkt verstrekking van kortingsbonnen (werd gewaardeerd.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140802lingtopic,ANS
9,2,naamwoordelijke_constituent,6. Nominalizations,Nominalisaties behorend tot type 2,Het pannenkoeken bakken (is voor Anneke niet moeilijk.),Het een pannenkoek bakken (is voor Anneke niet moeilijk.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140803lingtopic,ANS
