Subject,Section,Sub-subject,Correct sentence,Wrong sentence,Label,URL
Het woord,2.2.3,Overgankelijke (transitieve) en onovergankelijke (intransitieve) werkwoorden,Ik maak iets.,Ik maak.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans020203lingtopic
Het woord,2.2.3,Overgankelijke (transitieve) en onovergankelijke (intransitieve) werkwoorden,"Hè, hè, ik zit.",Ik zit iets.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans020203lingtopic
Het woord,2.2.4,Wederkerende (reflexieve) en niet-wederkerende (niet-reflexieve) werkwoorden,Karin vergist zich.,Karin vergist zichzelf.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans020204lingtopic
Het woord,2.2.4,Wederkerende (reflexieve) en niet-wederkerende (niet-reflexieve) werkwoorden,Karin vergist zich.,Karin vergist haar.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans020204lingtopic
Het woord,2.2.4,Wederkerende (reflexieve) en niet-wederkerende (niet-reflexieve) werkwoorden,Karin vergist zich.,Karin vergist de baby.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans020204lingtopic
Het woord,2.2.4,Wederkerende (reflexieve) en niet-wederkerende (niet-reflexieve) werkwoorden,Zijn succes verheugt ons zeer.,Ik herinner mezelf nog veel uit mijn jeugdjaren.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans020204lingtopic
Het woord,2.2.4,Wederkerende (reflexieve) en niet-wederkerende (niet-reflexieve) werkwoorden,Zijn succes verheugt ons zeer.,Wij verheugen onszelf over zijn succes.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans020204lingtopic
Het woord,2.2.4,Wederkerende (reflexieve) en niet-wederkerende (niet-reflexieve) werkwoorden,Peter verwondde zich aan een glasscherf. (aan = 'door'),Peter verwondde zijn broertje aan een glasscherf.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans020204lingtopic
Het woord,2.2.4,Wederkerende (reflexieve) en niet-wederkerende (niet-reflexieve) werkwoorden,De verpleegster prikte zich aan een injectienaald. (aan = 'door'),De verpleegster prikte de patiënt aan een injectienaald.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans020204lingtopic
Het woord,2.2.4,Wederkerende (reflexieve) en niet-wederkerende (niet-reflexieve) werkwoorden,Ik amuseer mezelf altijd heel goed als ik alleen ben.,Ik zag me op de televisie.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans020204lingtopic
