,source,zin,phenomenon,grammatical,id_1,id_2,id_3,id_4,id_5,id_6,id_7,id_8,id_9,id_10,id_11,id_12,id_13,avg,max,min
0,NSD_phenomena1&2_version1CLIN,De maan schijnt.,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",1,7,7,4,7,7,7,6,7.0,,,,,,6.5,7,4
1,NSD_phenomena1&2_version1CLIN,De zon schijnt.,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",1,7,7,7,7,7,7,7,7.0,,,,,,7.0,7,7
2,NSD_phenomena1&2_version1CLIN,De aarde is bol.,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",1,7,1,3,7,7,6,6,6.0,,,,,,5.375,7,1
3,NSD_phenomena1&2_version1CLIN,De sahara is erg heet.,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",1,7,7,6,7,7,7,3,2.0,,,,,,5.75,7,2
4,NSD_phenomena1&2_version1CLIN,De Eiffeltoren staat in Parijs.,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",1,7,7,7,7,7,7,7,7.0,,,,,,7.0,7,7
5,NSD_phenomena1&2_version1CLIN,De Mona Lisa hangt in het Louvre.,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",1,7,7,6,7,7,7,5,7.0,,,,,,6.625,7,5
6,NSD_phenomena1&2_version1CLIN,Er helt een Toren van Pisa over.,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",0,1,1,1,6,7,1,1,2.0,,,,,,2.5,7,1
7,NSD_phenomena1&2_version1CLIN,Er staat een Taj Mahal in India.,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",0,2,1,5,6,7,3,1,2.0,,,,,,3.375,7,1
8,NSD_phenomena1&2_version1CLIN,Een continent van Europa is klein.,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",0,1,2,1,1,7,1,1,2.0,,,,,,2.0,7,1
9,NSD_phenomena1&2_version1CLIN,De terechtstelling van de misdadiger (was afschrikwekkend.),6. Nominalizations,1,7,6,1,7,7,6,6,6.0,,,,,,5.75,7,1
10,NSD_phenomena1&2_version1CLIN,De schenking van kadobonnen aan de jarige (was een goed idee.),6. Nominalizations,1,7,6,1,7,7,6,2,7.0,,,,,,5.375,7,1
11,NSD_phenomena1&2_version1CLIN,De verstrekking van kortingsbonnen in een supermarkt (werd gewaardeerd.),6. Nominalizations,1,7,7,1,7,7,4,3,2.0,,,,,,4.75,7,1
12,NSD_phenomena1&2_version1CLIN,Het pannenkoeken bakken (is voor Anneke niet moeilijk.),6. Nominalizations,1,6,6,1,5,7,6,4,7.0,,,,,,5.25,7,1
13,NSD_phenomena1&2_version1CLIN,Het bakken van pannenkoeken (is voor Anneke niet moeilijk.),6. Nominalizations,1,7,5,1,7,7,7,6,3.0,,,,,,5.375,7,1
14,NSD_phenomena1&2_version1CLIN,Het voor grootmoeder thee inschenken (is een hele opgave.),6. Nominalizations,1,2,1,2,4,7,1,1,2.0,,,,,,2.5,7,1
15,NSD_phenomena1&2_version1CLIN,Eten van mosselen (is in de mode.),6. Nominalizations,0,4,6,1,7,7,5,5,3.0,,,,,,4.75,7,1
16,NSD_phenomena1&2_version1CLIN,Cognac aanbieden tante Fien (vindt pa doodzonde.),6. Nominalizations,0,1,1,1,1,1,1,1,2.0,,,,,,1.125,2,1
17,NSD_phenomena1&2_version1CLIN,Een nieuwe broek kopen Eric (is altijd leuk.),6. Nominalizations,0,1,1,1,1,1,1,1,7.0,,,,,,1.75,7,1
18,NSD_phenomena1&2_version2CLIN,De Toren van Pisa helt over.,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",1,6,7,7,7,7,4,7,6.0,,,,,,6.375,7,4
19,NSD_phenomena1&2_version2CLIN,De Taj Mahal staat in India.,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",1,7,7,7,7,7,5,7,7.0,,,,,,6.75,7,5
20,NSD_phenomena1&2_version2CLIN,Het continent van Europa is klein.,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",1,2,4,5,6,6,5,2,2.0,,,,,,4.0,6,2
21,NSD_phenomena1&2_version2CLIN,De sahara is erg heet.,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",1,7,7,7,7,7,5,7,7.0,,,,,,6.75,7,5
22,NSD_phenomena1&2_version2CLIN,De Eiffeltoren staat in Parijs.,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",1,7,7,7,7,7,5,7,7.0,,,,,,6.75,7,5
23,NSD_phenomena1&2_version2CLIN,De Mona Lisa hangt in het Louvre.,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",1,7,7,7,7,7,4,7,7.0,,,,,,6.625,7,4
