GEITje_chat_corr_score,GEITje_chat_wrong_score,GEITje_chat_right
-3.740503466496843,-3.9632404148578644,True
-3.120966082821334,-3.473938338458538,True
-5.730898996194203,-6.320469123976571,True
-3.404788472026121,-3.7122805190103296,True
-2.4166988759365764,-2.6440723339425554,True
-2.709601171666608,-3.874350596007637,True
-4.0473375506699085,-4.000570294531909,False
-3.669815928026866,-3.3999062655420857,False
-3.068347267084755,-4.311513330872086,True
-5.229967593681067,-5.5255118070377245,True
-3.8143648635596037,-4.369723436733087,True
-3.464737751825952,-4.148511723399861,True
-3.3585586597877812,-3.978978867584374,True
-4.0321978413315565,-4.355596924174196,True
-2.645522331020038,-2.6668488136410815,True
-2.464346068571096,-2.6757995602742923,True
-2.4166988759365764,-2.9462749620834074,True
-2.4783630408827984,-2.9643871857052937,True
-2.584829706580002,-2.884106696475231,True
-2.303623717243113,-2.8790618353976356,True
-2.9329094820515462,-3.4807832312847777,True
-2.8415459515985835,-3.347930472248533,True
-3.085646309170746,-3.3102652886412285,True
-5.291336841881275,-5.304085764620039,True
-4.91406022024421,-4.808670790649818,False
-4.91406022024421,-5.434611921012402,True
-4.168022202100734,-6.072042404673994,True
-4.168022202100734,-4.771088822630312,True
-4.158233835844499,-4.637082477118383,True
-3.372114949249759,-3.1640358576832264,False
-2.4386848299552923,-2.6486146257088876,True
-4.158233835844499,-5.116162565277932,True
-3.6330570614603857,-4.119617961466348,True
-2.2331674121498963,-2.902855815986792,True
-2.1403243026447205,-2.1894456287065016,True
-3.150452768066316,-4.20955181054564,True
-3.7252669050699803,-4.188864201227989,True
-4.030737412515401,-4.750779363564652,True
-4.163027437593377,-4.883595683327985,True
-2.460365589429224,-2.481112538003557,True
-3.3187862541345567,-3.374759435573982,True
-2.909045570421881,-3.037485349413181,True
-2.7513772443410196,-2.6916029279316,False
-3.7252669050699803,-5.1715159936821795,True
-4.030737412515401,-4.751264886585785,True
-4.163027437593377,-5.415609067781032,True
-3.3349081776340426,-3.3347305359962776,False
-2.814579041967954,-3.7346185246624373,True
-4.106492175190902,-3.1637915926972178,False
-3.9154982909312595,-4.370697512710401,True
-3.0301704060482386,-4.292804129009087,True
-3.5070910756781317,-4.042152868515404,True
-3.634778713369087,-3.8414598448349957,True
-4.00118739837741,-4.787803229177371,True
-4.328077883794549,-4.869885288124871,True
-4.366573977903272,-4.472744396133931,True
-3.659240919698373,-3.9651083043879933,True
-3.420126519732599,-4.012980673376553,True
-3.4967059962237887,-4.033409781635783,True
-3.5927703144436465,-4.155631911746193,True
-2.62669381393016,-3.1304863647932333,True
-3.964038661797531,-5.589300207297007,True
-3.304884304410035,-3.738185600849041,True
-3.8412732863466124,-4.324990983121097,True
-4.019876204780303,-4.534415407193592,True
-4.183640356868272,-4.215458733678263,True
-3.9428072635225058,-4.240322781416277,True
-3.9428072635225058,-4.403909358521924,True
-4.197924703283813,-3.9773669409033676,False
-3.141886556036154,-3.954812979980084,True
-4.177501367061632,-4.147770187770948,False
-3.5365806845393744,-3.990164946997538,True
-3.6274097957348457,-4.4938931167030205,True
-4.10786705521137,-5.061893412321717,True
-4.546258293033073,-4.791593537477248,True
-3.5366966801586,-3.851110545435564,True
-4.436139124433976,-4.911794887090634,True
-3.6998130170077275,-4.309009573856989,True
-3.948874141775856,-4.320453082292159,True
-4.622356799514299,-5.664970929626948,True
-4.319537355072009,-5.151176794965674,True
-6.101334681113561,-6.677963657812639,True
-3.1044506739789623,-3.9204726025469023,True
-4.543988961980424,-4.955634058710227,True
-4.543988961980424,-5.845487190579826,True
-4.543988961980424,-5.120848040562123,True
