GEITj_sft_corr_score,GEITje_sft_wrong_score,GEITje_sft_right
-3.0571636903083084,-3.1414241939783096,True
-2.3841853101164037,-2.947969101369381,True
-3.8079407612482705,-4.483514445168631,True
-3.1675518876174467,-3.1252024585211817,False
-1.9823507172358488,-2.2656438995472854,True
-1.9992651796412908,-2.855278643599542,True
-3.5651830073446034,-4.42653378573331,True
-2.6178445927151994,-2.8408267962164246,True
-2.5108165073907003,-3.3119949539276687,True
-3.980978741077706,-4.560192908263868,True
-3.181879982817918,-3.4131789017054768,True
-2.6813002539436437,-2.9369755883468316,True
-2.8526170848506607,-3.3212790426332504,True
-2.951492621589245,-3.321472578258677,True
-1.9266174222759824,-2.419944367600692,True
-1.9224764675144494,-2.3932589778469264,True
-1.9823507172358488,-2.4380937965324847,True
-2.1238856066484004,-2.450715042129949,True
-2.1982858747852823,-2.4035144797193686,True
-1.978908220716221,-2.4669457643503847,True
-2.4185469488537428,-2.9733506092738633,True
-2.1869117440655828,-3.026040170649399,True
-1.9904700600988388,-2.3923876182749293,True
-4.2169962376356125,-4.31865856051445,True
-3.458104155375622,-3.695324419531971,True
-3.458104155375622,-4.430382262170315,True
-3.3481092955480563,-4.914383396971971,True
-3.3481092955480563,-4.181131583584162,True
-3.4086107069524587,-3.3448520051671142,False
-2.5498844939544267,-2.7173084050059515,True
-1.7629275125132153,-2.543051858486918,True
-3.4086107069524587,-3.9621689843406784,True
-2.819471911067376,-3.6029289610063038,True
-1.7225685182937822,-2.5844652193288007,True
-1.7976336518942324,-1.7570285846891542,False
-2.402306016705552,-3.181783638894558,True
-2.8651462565661254,-2.870145531866001,True
-3.154934424345912,-3.537102532305289,True
-3.571934024379718,-3.560912205610657,False
-2.1483397686249157,-2.0611366776889253,False
-2.8029783708449485,-2.9003287116847787,True
-2.5648335485908547,-2.865274600193586,True
-2.6481987451171185,-2.785854982923131,True
-2.8651462565661254,-3.994986735206718,True
-3.154934424345912,-3.815640792949125,True
-3.571934024379718,-3.922987003086342,True
-2.524291877314681,-3.2000914967851712,True
-2.4700953763633153,-3.0532215053681284,True
-2.977986895731495,-2.7989024745911593,False
-2.930350100516807,-3.1539920029463246,True
-3.09247330983765,-3.985475318198472,True
-3.2224258949175817,-3.6092653211555445,True
-3.230571035309064,-3.3262849707213413,True
-3.3528680185623028,-3.968428287189454,True
