GPT_GroNLP_corr,GPT_GroNLP_wrong,GPT_GroNLP_right
-6.005396763483684,-5.839057564735413,False
-4.366199890772502,-5.414027750492096,True
-5.186237961053848,-6.540640950202942,True
-4.96856735433851,-5.257753389222281,True
-3.342231526854448,-3.383401047438383,True
-4.371693794748613,-4.739388783063207,True
-4.858024254441261,-4.996665014161004,True
-4.390309512615204,-4.140983528561062,False
-4.909013218432665,-6.831262548764546,True
-6.021050572395325,-6.868946472803752,True
-5.18247589468956,-6.206994950771332,True
-4.533826282868783,-4.765243296201031,True
-3.4697231909958646,-3.6791864736005664,True
-6.3650390625,-5.782524296215603,False
-4.675544548034668,-5.176200699806214,True
-4.444139460722606,-4.9306220809618635,True
-3.342231526854448,-3.5129037434235215,True
-3.157146334531717,-3.299329542554915,True
-3.78932043898385,-4.069394581951201,True
-4.421022939185302,-4.124440442432057,False
-3.845171307975596,-4.31269202449105,True
-4.377667376399041,-4.924470472335815,True
-3.5395228597852917,-3.7272988292906017,True
-4.4189991156260175,-5.239052494366963,True
-6.728249728679657,-6.061102867126465,False
-6.728249728679657,-6.330952984946115,False
-7.1191502544615,-6.9051899909973145,False
-7.1191502544615,-7.921704918146133,True
-3.865218325634487,-4.691154400197168,True
-5.815315872430801,-5.898388942082723,True
-4.635845685005188,-4.977036774158478,True
-3.865218325634487,-4.352135620700817,True
-4.493839999428019,-6.8261682987213135,True
-2.8672848586839708,-3.8246148824691772,True
-4.136455208063126,-4.317775112887223,True
-3.7812235951423645,-6.388152122497559,True
-3.581439157288211,-4.460466601420194,True
-4.144550831134741,-4.97846556485941,True
-4.375598816453324,-4.869608342880383,True
-4.277812524698675,-4.360998742515221,True
-6.7688692808151245,-6.653310418128967,False
-5.470560411612193,-5.6728547016779585,True
-5.739533483982086,-5.886872927347819,True
-3.581439157288211,-5.034462927441512,True
-4.144550831134741,-4.6914606009210855,True
-4.375598816453324,-5.183688033904348,True
-4.101586043116792,-4.932890605926514,True
-4.170615736123485,-6.681097090244293,True
-4.344119548797607,-5.400733252366384,True
-3.940397410925167,-4.797253131245573,True
-5.503258830308914,-7.3768499372527,True
-5.106974157340386,-5.729986621936162,True
-5.3401884958148,-5.803571362580572,True
-5.188947784900665,-8.130864756447929,True
-5.606322240829468,-7.972235747746059,True
-5.540044539504581,-7.913523197174072,True
