RobBERT_corr_score,RobBERT_wrong_score,RobBERT_right
-12.1025341351827,-12.453290258135114,True
-11.988086859385172,-12.653621537344796,True
-11.62719031742641,-12.445769582475934,True
-12.098811531066895,-12.567198467254638,True
-11.054518699645996,-11.691481987635294,True
-11.720843315124512,-12.338298320770264,True
-11.977081905711781,-11.929193099339804,False
-11.85998179695823,-11.976346413294474,True
-11.829953405592176,-12.263403150770399,True
-12.375615755716959,-12.693371242947048,True
-13.050387740135193,-13.325658917427063,True
-12.522184610366821,-12.57408332824707,True
-11.826170921325684,-12.454569296403365,True
-12.39424216747284,-12.554915428161621,True
-12.52159070968628,-12.38854706287384,False
-12.82909361521403,-12.82947826385498,True
-11.054518699645996,-11.490121841430664,True
-11.26465944810347,-11.631596478548916,True
-11.466302958401767,-11.877418604764072,True
-11.99444209612333,-12.642123222351074,True
-12.277467874380259,-12.684485142047588,True
-12.231712579727173,-12.697969277699789,True
-12.785323858261108,-13.252733071645102,True
-12.531454934014214,-12.980626848008898,True
-11.405745097569056,-11.092133385794503,False
-11.405745097569056,-12.136254596710206,True
-12.267054080963135,-11.584151812962123,False
-12.267054080963135,-12.417581211436879,True
-11.486625671386719,-11.961110949516296,True
-11.687877337137857,-12.242214520772299,True
-12.489448620722843,-11.986937082730806,False
-11.486625671386719,-10.99125063419342,False
-13.124996503194174,-12.056323187691826,False
-12.194172518593925,-12.346563720703125,True
-11.777580261230469,-12.065604114532471,True
-11.782830102103096,-11.721875735691615,False
-11.11988890171051,-11.87221372127533,True
-11.29035747051239,-11.720940828323364,True
-10.963970184326172,-11.657027774386936,True
-11.57683632590554,-11.964699918573553,True
-11.839462810092503,-12.266385502285427,True
-11.310198042127821,-11.886700206332737,True
-11.456537670559353,-11.955910788642036,True
-11.11988890171051,-10.982535362243652,False
-11.29035747051239,-11.31175782945421,True
-10.963970184326172,-11.350394778781467,True
-12.965803994072807,-12.37717696598598,False
-12.97569751739502,-12.247932706560407,False
-12.970160722732544,-12.262891345553928,False
-11.28104817867279,-11.677160143852234,True
-11.468934313456218,-11.73554200392503,True
-12.287120650796329,-12.139471054077148,False
-11.738840716225761,-11.755045345851354,True
-11.846278997567984,-12.618438720703125,True
-11.819341219388521,-12.574222087860107,True
-12.125469446182251,-13.01305112838745,True
-12.108557260953463,-12.300793994556773,True
-12.44947862625122,-12.917984867095948,True
-11.715291738510132,-12.39237356185913,True
-11.786036150796074,-12.288316090901693,True
-12.546047415052142,-13.243496576944986,True
-11.504736680250902,-11.39283045132955,False
-12.992483986748589,-12.929216833675609,False
-12.003308475017548,-11.941236317157745,False
-11.696020330701556,-11.67076063156128,False
-11.734225034713745,-12.033169819758488,True
-11.686894270089956,-11.653699581439678,False
-11.686894270089956,-11.58940307299296,False
-12.157760253319374,-12.26198988694411,True
-12.221285820007324,-12.225791124197153,True
-11.675409078598022,-11.542344876698085,False
-11.806738408406575,-11.543678692408971,False
-12.02167303421918,-11.690590794881185,False
-12.106422026952108,-12.014522032304244,False
-12.245702483437277,-12.351393985748292,True
-12.146465237935384,-12.22561396085299,True
-11.94396279074929,-11.865997409820556,False
-11.967602048601423,-11.80977491232065,False
-11.94053041934967,-11.998194630940755,True
-11.502180894215902,-11.585553342645818,True
-12.101997288790615,-12.227157020568848,True
-11.823249036615545,-11.729879379272461,False
-12.084878701430101,-11.96784834428267,False
-11.532917022705078,-11.597726388411088,True
-11.532917022705078,-11.748690345070578,True
-11.532917022705078,-11.467994173367819,False
-11.686320529264563,-11.685779511928558,False
-12.329908811129057,-12.505944887797037,True
-11.838918772610752,-11.854331302642823,True
-12.337400956587357,-12.246994760301378,False
-12.824231661283052,-12.671199191700328,False
-12.642427097667348,-12.245182355244955,False
-12.137859957558769,-11.754033168156942,False
-12.88254319704496,-12.726627696644176,False
-11.893522349270908,-12.089067538579306,True
-11.893522349270908,-12.305998086929321,True
-11.893522349270908,-11.911400281465971,True
-12.573243067814754,-12.511325279871622,False
-12.17164318902152,-12.179690214303823,True
-11.803533814170144,-11.834018230438232,True
-12.527292609214783,-12.403398513793945,False
-11.851035638289018,-11.853357632954916,True
-11.851035638289018,-12.125333997938368,True
-11.682737588882446,-11.433912992477417,False
-13.683265277317592,-13.71458101272583,True
-12.371851391262478,-12.850250720977783,True
-12.29862470626831,-12.710402761186872,True
-12.495420813560486,-12.959645816258021,True
-11.903969764709473,-12.272875377110072,True
-11.844907426834107,-12.730985522270203,True
-12.193471312522888,-12.702585356576103,True
-11.639320509774345,-11.910556316375732,True
-11.444839217446066,-12.060133389064244,True
-12.72774875164032,-12.84081254686628,True
-12.44172990322113,-12.464345932006836,True
-12.343206882476807,-12.11256992816925,False
