RobBERT_large_corr_score,RobBERT_large_wrong_score,RobBERT_large_right
-20.187984943389893,-16.40405727284295,False
-18.971484661102295,-16.47050138882228,False
-16.23295102800642,-17.748255048479354,True
-11.88803290128708,-12.536797845363617,True
-9.86136865916937,-8.811975723229503,False
-10.184278302159244,-6.767546148339037,False
-10.852756631306626,-10.533269393413017,False
-9.44247920309532,-8.844715008686762,False
-13.16880992706865,-13.269970470004612,True
-12.769529700279236,-12.916864728927612,True
-17.096234389713832,-18.92803696223668,True
-13.630276788026094,-15.150704354047775,True
-10.78123192953221,-11.345623553667048,True
-11.735725991427898,-14.061817689239978,True
-14.067226462066174,-15.165149413049221,True
-12.164998472868724,-13.26823396778976,True
-9.86136865916937,-10.836846449878067,True
-9.8363448124834,-10.618239346362481,True
-9.52519529800735,-10.468693499643864,True
-8.688142894050824,-10.863384019971514,True
-8.715334161118205,-10.062283530739867,True
-9.68347226048354,-11.092093448562082,True
-9.195023167806749,-9.72063724259631,True
-12.352058079507616,-14.228824933369955,True
-16.97185935292925,-16.485388823917933,False
-16.97185935292925,-12.65966260433197,False
-11.530230681327255,-18.926910400390625,True
-11.530230681327255,-12.675814021717418,True
-15.552263349294662,-16.653881758451462,True
-12.394009426857034,-12.364784865277922,False
-8.801357065685666,-9.065594264234488,True
-15.552263349294662,-15.702391475439072,True
-10.673388390988112,-17.092569759913854,True
-9.16206711806756,-11.942935717105865,True
-12.713792184988657,-13.462279604540932,True
-15.961871316390377,-18.524639538356237,True
-15.651328779757023,-16.5937539935112,True
-16.0957188308239,-17.08326183259487,True
-14.09526722961002,-15.101586951149834,True
-8.974812055260621,-8.917957097884607,False
-13.518562211241159,-13.481290626029173,False
-12.089965322986245,-12.327804254574907,True
-12.568985225839747,-12.599370659639439,True
-15.651328779757023,-13.87251075108846,False
-16.0957188308239,-13.137340386708578,False
-14.09526722961002,-14.301082478629219,True
-10.402413423359395,-13.662554818205535,True
-11.218861217796803,-16.975612572261266,True
-15.042448341846466,-13.426787482367622,False
-15.28841096162796,-16.604460805654526,True
-8.026122586727272,-9.286227336313459,True
-8.27404246598905,-9.121460154443733,True
-9.298496214524675,-9.88443859045583,True
-9.932100332607904,-12.671924639861876,True
-10.078858844404264,-12.602007506109658,True
-10.262491958388377,-12.149797218803238,True
-8.971884320237828,-10.617042003114385,True
-10.419471238303231,-12.68183975998545,True
-10.850756361789536,-12.444367367599625,True
-9.1850248464998,-10.23328973540421,True
-8.379647206542359,-10.059920001469436,True
-9.624667018166898,-11.106200937086085,True
-7.961052404346992,-8.464136523415187,True
-8.703321110728533,-8.928336069475764,True
-8.794565255371708,-11.640918574915434,True
-11.37958568086781,-10.954473091824912,False
-10.209554626598644,-10.952771178182836,True
-10.209554626598644,-11.888067209926833,True
-10.23557114636448,-10.902817029560294,True
-9.398150657609222,-11.033997216001929,True
-10.266362595350074,-9.855725566740148,False
-8.680432152944645,-10.159437054302543,True
-7.195224022530295,-7.949096341070424,True
-10.170310628906009,-11.774743569705887,True
-11.674257935611353,-12.872937187416634,True
-7.962660377139828,-9.55455697371702,True
-12.21887729019867,-13.849956492709074,True
-8.7461749638691,-9.829741692396965,True
-8.104448168241005,-8.830358449547717,True
-10.89719020784105,-12.366995537525955,True
-10.622337373878018,-11.63040167653162,True
-12.085939546935082,-13.246473368786004,True
-9.99166077998137,-12.450919295370673,True
-10.239145168107436,-11.912473322494547,True
-10.239145168107436,-12.064610990238949,True
-10.239145168107436,-10.827247547492984,True
-9.741949732779942,-10.725853797730654,True
-9.347541236881321,-10.345690847241453,True
-11.889116338579557,-13.30734335735906,True
-10.562064822279634,-12.866209895646369,True
-8.92336943692062,-10.277973114761362,True
-10.505617113810821,-13.529571298128841,True
-9.279439217879876,-10.146977724827593,True
-8.317887025490563,-12.388617373402948,True
-11.034151255838179,-10.776167456418209,False
-11.034151255838179,-10.513910176232457,False
-11.034151255838179,-9.84578686868772,False
-9.326239730287732,-11.074418605436222,True
-10.193759911851885,-10.553235785771783,True
-10.341128166497443,-13.14834001718979,True
-14.694670602679253,-17.82452651432582,True
-10.697588051358858,-12.265697082877159,True
-10.697588051358858,-12.895684432983398,True
-14.033746026456356,-13.357616742451986,False
-15.598122149705887,-17.615972995758057,True
-13.523817737897238,-14.706467807292938,True
-11.648000898125412,-14.261229634284973,True
-14.599398598074913,-16.322560242244176,True
-15.601018354296684,-17.887761456625803,True
-13.322934126853943,-13.674504086375237,True
-14.35906794336107,-15.1257743537426,True
-14.846487268805504,-16.710010596684047,True
-8.581092072029909,-13.352019135141745,True
-14.580760806798935,-15.866850580487933,True
-13.57459856569767,-13.249513626098633,False
-14.620486348867416,-13.572745005289713,False
-15.168178290128708,-14.745783951547411,False
-15.21496381610632,-12.301556396484376,False
-14.158196315169334,-13.753662745157877,False
-13.28763197755648,-15.888062318166098,True
-13.468188177690738,-15.60372961892022,True
-15.285527668893337,-13.253621366288927,False
-14.843291208148003,-14.48017954826355,False
-15.622367709875107,-13.438955280515883,False
-14.155493944883347,-13.097837898466322,False
-13.041083192825317,-11.710505279627712,False
-14.51907061226666,-12.943987846374512,False
-13.870820425450802,-13.108978735076057,False
-15.290150672197342,-14.188344372643364,False
-14.074315825477242,-11.358513363823295,False
-15.034217804670334,-16.11174762248993,True
-11.470009456981312,-14.015217423439026,True
-11.470009456981312,-13.525833421283298,True
-15.767385142190117,-19.212801933288574,True
-17.111172335488455,-19.93794361750285,True
-18.093104362487793,-20.879860162734985,True
-12.625969290733337,-14.689520604908466,True
-17.016423089163645,-20.48060353597005,True
-16.393668740987778,-21.296807607014973,True
-18.162632056644984,-21.405168215433758,True
-14.19735717214644,-20.90805673599243,True
-14.882174387574196,-15.987580095018659,True
-15.716740437916346,-13.831378897031149,False
-15.076635167002678,-11.684176602959633,False
-15.018541358411312,-11.65996699333191,False
-15.176380395889282,-13.438181320826212,False
-15.102707296609879,-13.656543946928448,False
-12.8943693821008,-11.991502448916435,False
-13.800462272432116,-14.036164058579338,True
-11.411126090420616,-13.625974522696602,True
-14.11779074370861,-13.658794509039986,False
-13.574233531951904,-18.409957340785436,True
-8.988988317394009,-12.259342923760414,True
-13.141110706329346,-14.319478666782379,True
-15.83428579568863,-15.266520045697689,False
-13.903361231088638,-13.53268465730879,False
-14.854677952826023,-13.614280733797285,False
-15.097458936274052,-13.421926352712843,False
-14.379390574991703,-13.316336896684435,False
-14.259800776839256,-14.044571532143486,False
-14.917358197271824,-13.905179374747807,False
-14.832277089357376,-11.150632684881037,False
-13.815336192026734,-17.441665717533656,True
-13.430332468822598,-18.178026744297572,True
-14.99617139622569,-18.556984288351877,True
-14.69721120968461,-17.36528049196516,True
-14.184450656175613,-17.691582475389755,True
-14.315833752974868,-18.92280353818621,True
-14.257288317196071,-17.947695595877512,True
-14.143922418355942,-17.59716204234532,True
-11.62229126393795,-11.424441906809808,False
-14.193609493474165,-14.899775561359194,True
